Samples - Plot 0	"Amplitude, V - Plot 0"
534	-0.0034545
535	-0.00182824
536	-0.0047555
537	-0.00150299
538	-0.0034545
539	-0.00377975
540	-0.00215349
541	-0.00117774
542	-0.00280399
543	-0.00280399
544	-0.00150299
545	-0.00215349
546	-0.0034545
547	-0.00280399
548	-0.00247874
549	-0.00280399
550	-0.00182824
551	-0.00117774
552	-0.00215349
553	-0.00150299
554	-0.00377975
555	-0.00312925
556	-0.000527234
557	-0.00150299
558	-0.00150299
559	-0.00117774
560	-0.000201983
561	0.000123269
562	-0.000527234
563	-0.000527234
564	-0.000852486
565	-0.00182824
566	-0.000201983
567	-0.00215349
568	-0.00150299
569	-0.000852486
570	-0.000527234
571	-0.00150299
572	-0.00117774
573	-0.00150299
574	-0.00117774
575	-0.00247874
576	-0.00182824
577	-0.000852486
578	-0.00215349
579	-0.00280399
580	-0.00215349
581	-0.00182824
582	-0.000527234
583	-0.000527234
584	-0.00280399
585	0.00044852
586	-0.004105
587	-0.00280399
588	0.00142427
589	-0.00215349
590	-0.00280399
591	-0.000527234
592	-0.00247874
593	-0.00540601
594	0.000123269
595	0.00305053
596	-0.00117774
597	-0.00215349
598	0.00207478
599	-0.004105
600	-0.00280399
601	-0.000852486
602	0.000123269
603	-0.00247874
604	-0.000852486
605	0.000773772
606	-0.00117774
607	-0.00280399
608	-0.00312925
609	-0.00117774
610	-0.000201983
611	-0.00182824
612	-0.00150299
613	-0.00247874
614	-0.00377975
615	-0.00280399
616	-0.00312925
617	-0.00215349
618	-0.000852486
619	-0.00150299
620	-0.00247874
621	-0.00443025
622	-0.004105
623	-0.000852486
624	-0.00150299
625	-0.0034545
626	-0.00117774
627	-0.00215349
628	-0.00247874
629	-0.00117774
630	0.00142427
631	0.00109902
632	-0.000527234
633	0.000123269
634	-0.00150299
635	0.000773772
636	0.00044852
637	-0.000852486
638	-0.0034545
639	-0.00280399
640	0.00142427
641	0.00174953
642	-0.00247874
643	-0.000852486
644	-0.000527234
645	0.00044852
646	0.000773772
647	-0.000201983
648	-0.00215349
649	-0.0034545
650	-0.00443025
651	-0.00182824
652	-0.00247874
653	-0.00150299
654	-0.00247874
655	-0.00247874
656	-0.00377975
657	-0.000527234
658	-0.00215349
659	-0.00312925
660	-0.000527234
661	-0.00117774
662	-0.0034545
663	-0.00377975
664	-0.00117774
665	-0.00182824
666	-0.00280399
667	0.000773772
668	0.00044852
669	0.000123269
670	-0.00150299
671	-0.00280399
672	-0.000527234
673	-0.00182824
674	-0.00215349
675	0.00109902
676	0.000123269
677	-0.000852486
678	-0.00117774
679	-0.00377975
680	-0.000852486
681	-0.000852486
682	-0.00215349
683	-0.000527234
684	0.000123269
